id_batiment,cluster_infra,type_batiment,nb_maisons,cout_total,cout_materiel,cout_main_oeuvre,duree_totale
E000369,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004271', 'fourreau'): 6.61138266761108, ('P004269', 'aerien'): 8.03245737103393, ('P007507', 'fourreau'): 8.2451799365212}",habitation,3,59406.87245448976,49358.19514025786,10048.677314231898,38.171033649647
E000370,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P008016', 'fourreau'): 8.04338585809972, ('P000470', 'aerien'): 2.57224945914596, ('P008019', 'semi-aerien'): 4.16591671935325, ('P000464', 'fourreau'): 4.85875310412324, ('P000462', 'fourreau'): 3.69477602082419, ('P008017', 'aerien'): 4.27226322548612, ('P000621', 'aerien'): 6.05514938826793, ('P007533', 'semi-aerien'): 2.84839658610424}",habitation,2,93871.20739322377,79535.21122899993,14335.996164223834,10.35949548559945
E000371,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P008016', 'fourreau'): 8.04338585809972, ('P000470', 'aerien'): 2.57224945914596, ('P008019', 'semi-aerien'): 4.16591671935325, ('P000464', 'fourreau'): 4.85875310412324, ('P000462', 'fourreau'): 3.69477602082419, ('P008017', 'aerien'): 4.27226322548612, ('P008018', 'aerien'): 14.7483787687636, ('P007616', 'aerien'): 7.57918244268621}",habitation,6,100664.28726405953,85535.11970101269,15129.167563046838,10.35949548559945
E000372,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004271', 'fourreau'): 6.61138266761108, ('P004269', 'aerien'): 8.03245737103393, ('P004261', 'semi-aerien'): 8.0897383575819, ('P007610', 'fourreau'): 8.8689078508038}",habitation,5,67365.9410830958,55986.85403129862,11379.087051797169,38.171033649647
E000373,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P008032', 'aerien'): 10.5209747840379, ('P004209', 'fourreau'): 9.97549376892212, ('P007514', 'aerien'): 10.3279655802057}",habitation,8,34221.73146478013,29302.62438427106,4919.10708050907,12.469367211152651
E000374,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P008032', 'aerien'): 10.5209747840379, ('P008034', 'fourreau'): 10.0099030897997, ('P007534', 'fourreau'): 11.0908638527212}",habitation,7,40381.88583245053,34151.387450407114,6230.498382043415,13.863579815901499
E000375,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004271', 'fourreau'): 6.61138266761108, ('P004269', 'aerien'): 8.03245737103393, ('P004261', 'semi-aerien'): 8.0897383575819, ('P004257', 'semi-aerien'): 6.11375464797472, ('P007768', 'aerien'): 9.32956330061528}",habitation,1,68587.8818763777,57254.93460186388,11332.947274513812,38.171033649647
E000376,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P008032', 'aerien'): 10.5209747840379, ('P004209', 'fourreau'): 9.97549376892212, ('P004211', 'fourreau'): 2.87454919232451, ('P007506', 'aerien'): 14.6582864643116}",habitation,8,39837.73821979393,34054.87909941607,5782.859120377858,12.469367211152651
E000377,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P008032', 'aerien'): 10.5209747840379, ('P008035', 'aerien'): 11.7197592250876, ('P004196', 'fourreau'): 7.74281322100572, ('P007703', 'semi-aerien'): 10.1403162890544}",habitation,6,41720.2573748771,35594.345930378055,6125.911444499048,10.1403162890544
E000378,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P008032', 'aerien'): 10.5209747840379, ('P008035', 'aerien'): 11.7197592250876, ('P004234', 'aerien'): 13.4849030344439, ('P007497', 'aerien'): 7.52768320033647}",habitation,5,36255.90042188313,31526.86993207229,4729.030489810843,6.74245151722195
